current_state,region,division,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,from_region,from_division,number_of_people
Rhode Island,Northeast,New England,2019,1050602,930406,80686,34984,4526,Hawaii,West,Pacific,0
South Carolina,South,South Atlantic,2019,5092727,4414770,478892,176008,23057,Hawaii,West,Pacific,1280
South Dakota,Midwest,West North Central,2019,872708,739009,102133,26934,4632,Hawaii,West,Pacific,131
Tennessee,South,East South Central,2019,6754461,5782145,755183,196765,20368,Hawaii,West,Pacific,522
Texas,South,West South Central,2019,28642658,24347958,3517954,559661,217085,Hawaii,West,Pacific,6977
Utah,West,Mountain,2019,3162102,2661654,389057,95608,15783,Hawaii,West,Pacific,773
Vermont,Northeast,New England,2019,617560,536752,57776,21212,1820,Hawaii,West,Pacific,2
Virginia,South,South Atlantic,2019,8439982,7201805,903735,264855,69587,Hawaii,West,Pacific,1807
Washington,West,Pacific,2019,7527366,6253469,977928,231956,64013,Hawaii,West,Pacific,5855
West Virginia,South,South Atlantic,2019,1773280,1563611,164739,39548,5382,Hawaii,West,Pacific,256
Wisconsin,Midwest,East North Central,2019,5760481,5001140,634732,107973,16636,Hawaii,West,Pacific,283
Wyoming,West,Mountain,2019,572884,473128,68127,30247,1382,Hawaii,West,Pacific,33
Puerto Rico,Puerto Rico,Puerto Rico,2019,3175835,2968876,169733,31144,6082,Hawaii,West,Pacific,0
Alabama,South,East South Central,2010,4729509,3987155,620465,108723,13166,Idaho,West,Mountain,304
Alaska,West,Pacific,2010,702974,565031,95878,36326,5739,Idaho,West,Mountain,895
Arizona,West,Mountain,2010,6332786,5069002,1001991,222725,39068,Idaho,West,Mountain,2147
Arkansas,South,West South Central,2010,2888304,2387806,412997,79127,8374,Idaho,West,Mountain,618
California,West,Pacific,2010,36907897,30790221,5413287,444749,259640,Idaho,West,Mountain,5719
Colorado,West,Mountain,2010,4988190,4042039,725413,186366,34372,Idaho,West,Mountain,839
Connecticut,Northeast,New England,2010,3541146,3100742,342904,77333,20167,Idaho,West,Mountain,147
Delaware,South,South Atlantic,2010,889812,764640,90001,30759,4412,Idaho,West,Mountain,0
District of Columbia,South,South Atlantic,2010,596747,474676,63766,51244,7061,Idaho,West,Mountain,0
Florida,South,South Atlantic,2010,18647600,15554008,2459530,482889,151173,Idaho,West,Mountain,884
Georgia,South,South Atlantic,2010,9587237,8015409,1278548,249459,43821,Idaho,West,Mountain,414
Hawaii,West,Pacific,2010,1346274,1140572,134315,53581,17806,Idaho,West,Mountain,42
Idaho,West,Mountain,2010,1550967,1279856,209272,55638,6201,Idaho,West,Mountain,0
Illinois,Midwest,East North Central,2010,12680126,11009852,1404525,203959,61790,Idaho,West,Mountain,313
Indiana,Midwest,East North Central,2010,6414862,5431015,833086,127353,23408,Idaho,West,Mountain,772
Iowa,Midwest,West North Central,2010,3013053,2553210,375650,72557,11636,Idaho,West,Mountain,315
Kansas,Midwest,West North Central,2010,2820894,2341401,372161,95059,12273,Idaho,West,Mountain,398
Kentucky,South,East South Central,2010,4296639,3638259,519887,118443,20050,Idaho,West,Mountain,71
Louisiana,South,West South Central,2010,4483529,3826390,547291,97889,11959,Idaho,West,Mountain,202
Maine,Northeast,New England,2010,1313902,1136780,146735,27758,2629,Idaho,West,Mountain,0
Maryland,South,South Atlantic,2010,5716785,4917637,588879,164484,45785,Idaho,West,Mountain,357
Massachusetts,Northeast,New England,2010,6489250,5583650,706624,140162,58814,Idaho,West,Mountain,79
Michigan,Midwest,East North Central,2010,9762127,8310098,1291901,116149,43979,Idaho,West,Mountain,66
Minnesota,Midwest,West North Central,2010,5244256,4480630,647946,89872,25808,Idaho,West,Mountain,231
Mississippi,South,East South Central,2010,2931228,2510729,340266,72321,7912,Idaho,West,Mountain,121
Missouri,Midwest,West North Central,2010,5920858,4968921,786726,145226,19985,Idaho,West,Mountain,830
Montana,West,Mountain,2010,978507,821709,117752,35630,3416,Idaho,West,Mountain,1458
Nebraska,Midwest,West North Central,2010,1802697,1497138,247005,51290,7264,Idaho,West,Mountain,127
Nevada,West,Mountain,2010,2667364,2030410,517261,102677,17016,Idaho,West,Mountain,1686
New Hampshire,Northeast,New England,2010,1303865,1118359,141213,39367,4926,Idaho,West,Mountain,66
New Jersey,Northeast,Middle Atlantic,2010,8709933,7841470,684482,127369,56612,Idaho,West,Mountain,91
New Mexico,West,Mountain,2010,2039549,1735950,220663,73605,9331,Idaho,West,Mountain,755
New York,Northeast,Middle Atlantic,2010,19171916,16976205,1779540,269427,146744,Idaho,West,Mountain,198
North Carolina,South,South Atlantic,2010,9443000,7982017,1141001,263256,56726,Idaho,West,Mountain,724
North Dakota,Midwest,West North Central,2010,665654,556222,75720,30100,3612,Idaho,West,Mountain,69
Ohio,Midwest,East North Central,2010,11405101,9745227,1453401,172633,33840,Idaho,West,Mountain,564
Oklahoma,South,West South Central,2010,3716264,3065497,528824,106511,15432,Idaho,West,Mountain,611
Oregon,West,Pacific,2010,3794008,3110896,545841,116700,20571,Idaho,West,Mountain,4129
Pennsylvania,Northeast,Middle Atlantic,2010,12577555,11053022,1239199,235580,49754,Idaho,West,Mountain,380
Rhode Island,Northeast,New England,2010,1042240,900283,99603,32059,10295,Idaho,West,Mountain,0
South Carolina,South,South Atlantic,2010,4577399,3870879,537961,152441,16118,Idaho,West,Mountain,233
South Dakota,Midwest,West North Central,2010,805616,680993,96805,25777,2041,Idaho,West,Mountain,457
Tennessee,South,East South Central,2010,6282706,5299496,801355,159778,22077,Idaho,West,Mountain,333
Texas,South,West South Central,2010,24899075,20500156,3740344,486558,172017,Idaho,West,Mountain,2033
Utah,West,Mountain,2010,2724064,2240636,388410,77780,17238,Idaho,West,Mountain,7692
Vermont,Northeast,New England,2010,619363,534975,59032,22529,2827,Idaho,West,Mountain,0
Virginia,South,South Atlantic,2010,7930773,6752310,870491,259507,48465,Idaho,West,Mountain,1159
Washington,West,Pacific,2010,6661321,5464985,946923,191784,57629,Idaho,West,Mountain,12661
West Virginia,South,South Atlantic,2010,1833535,1625125,166168,39609,2633,Idaho,West,Mountain,88
Wisconsin,Midwest,East North Central,2010,5623196,4824045,691592,93065,14494,Idaho,West,Mountain,902
Wyoming,West,Mountain,2010,556954,444614,82255,28046,2039,Idaho,West,Mountain,942
Puerto Rico,Puerto Rico,Puerto Rico,2010,3676493,3392179,247593,31732,4989,Idaho,West,Mountain,0
Alabama,South,East South Central,2011,4745278,4024442,588293,117726,14817,Idaho,West,Mountain,137
Alaska,West,Pacific,2011,711962,571857,100280,35084,4741,Idaho,West,Mountain,475
Arizona,West,Mountain,2011,6402301,5107496,1028366,222877,43562,Idaho,West,Mountain,2190
Arkansas,South,West South Central,2011,2906632,2421746,405831,69845,9210,Idaho,West,Mountain,179
California,West,Pacific,2011,37222678,31213310,5271168,468428,269772,Idaho,West,Mountain,4796
Colorado,West,Mountain,2011,5048443,4048042,763233,202124,35044,Idaho,West,Mountain,1578
Connecticut,Northeast,New England,2011,3548667,3139496,316883,71502,20786,Idaho,West,Mountain,133
Delaware,South,South Atlantic,2011,897187,775414,83156,33912,4705,Idaho,West,Mountain,441
District of Columbia,South,South Atlantic,2011,611608,489659,66519,48066,7364,Idaho,West,Mountain,68
Florida,South,South Atlantic,2011,18863948,15742168,2454255,498597,168928,Idaho,West,Mountain,312
Georgia,South,South Atlantic,2011,9699859,8095407,1289450,271077,43925,Idaho,West,Mountain,126
Hawaii,West,Pacific,2011,1357806,1160948,122727,57542,16589,Idaho,West,Mountain,112
Idaho,West,Mountain,2011,1559637,1284530,208434,60336,6337,Idaho,West,Mountain,0
Illinois,Midwest,East North Central,2011,12718402,11076528,1353853,216204,71817,Idaho,West,Mountain,393
Indiana,Midwest,East North Central,2011,6437155,5478683,809158,127874,21440,Idaho,West,Mountain,1368
Iowa,Midwest,West North Central,2011,3027718,2573313,370554,70405,13446,Idaho,West,Mountain,161
Kansas,Midwest,West North Central,2011,2833584,2372033,362782,83640,15129,Idaho,West,Mountain,264
Kentucky,South,East South Central,2011,4316297,3686232,505741,110031,14293,Idaho,West,Mountain,36
Louisiana,South,West South Central,2011,4518629,3865118,538691,99138,15682,Idaho,West,Mountain,230
Maine,Northeast,New England,2011,1315833,1120364,157102,33818,4549,Idaho,West,Mountain,0
Maryland,South,South Atlantic,2011,5759087,5008452,553895,153979,42761,Idaho,West,Mountain,389
Massachusetts,Northeast,New England,2011,6515057,5658768,656441,139830,60018,Idaho,West,Mountain,412
Michigan,Midwest,East North Central,2011,9766574,8340767,1242917,139158,43732,Idaho,West,Mountain,882
Minnesota,Midwest,West North Central,2011,5277329,4505462,646176,101029,24662,Idaho,West,Mountain,402
Mississippi,South,East South Central,2011,2943021,2534036,332934,68511,7540,Idaho,West,Mountain,55
Missouri,Midwest,West North Central,2011,5937896,4963040,801046,149439,24371,Idaho,West,Mountain,560
Montana,West,Mountain,2011,987076,828254,122210,33553,3059,Idaho,West,Mountain,1543
Nebraska,Midwest,West North Central,2011,1817126,1505191,253269,52070,6596,Idaho,West,Mountain,506
Nevada,West,Mountain,2011,2688336,2084668,480317,110345,13006,Idaho,West,Mountain,3929
New Hampshire,Northeast,New England,2011,1305678,1141236,122129,37000,5313,Idaho,West,Mountain,0
New Jersey,Northeast,Middle Atlantic,2011,8719952,7825661,693380,140194,60717,Idaho,West,Mountain,256
New Mexico,West,Mountain,2011,2055293,1753413,228218,62130,11532,Idaho,West,Mountain,355
New York,Northeast,Middle Atlantic,2011,19248685,17055260,1756105,282209,155111,Idaho,West,Mountain,434
North Carolina,South,South Atlantic,2011,9539412,8070238,1160510,265291,43373,Idaho,West,Mountain,675
North Dakota,Midwest,West North Central,2011,675161,559906,79837,32510,2908,Idaho,West,Mountain,1209
Ohio,Midwest,East North Central,2011,11418944,9764366,1425709,191778,37091,Idaho,West,Mountain,312
Oklahoma,South,West South Central,2011,3742698,3089041,528498,108878,16281,Idaho,West,Mountain,21
Oregon,West,Pacific,2011,3828714,3128121,549332,127906,23355,Idaho,West,Mountain,6236
Pennsylvania,Northeast,Middle Atlantic,2011,12610486,11099077,1224564,234291,52554,Idaho,West,Mountain,236
Rhode Island,Northeast,New England,2011,1040022,903786,101689,26769,7778,Idaho,West,Mountain,107
South Carolina,South,South Atlantic,2011,4624180,3899705,546666,157644,20165,Idaho,West,Mountain,55
South Dakota,Midwest,West North Central,2011,814175,688436,94655,27506,3578,Idaho,West,Mountain,186
Tennessee,South,East South Central,2011,6333466,5342978,794556,170969,24963,Idaho,West,Mountain,0
Texas,South,West South Central,2011,25327104,20984855,3648260,514726,179263,Idaho,West,Mountain,4379
Utah,West,Mountain,2011,2769627,2295961,373984,85217,14465,Idaho,West,Mountain,7538
Vermont,Northeast,New England,2011,621354,537304,60719,20463,2868,Idaho,West,Mountain,0
Virginia,South,South Atlantic,2011,7996552,6789620,889751,257130,60051,Idaho,West,Mountain,434
Washington,West,Pacific,2011,6748474,5565069,919925,208507,54973,Idaho,West,Mountain,10895
West Virginia,South,South Atlantic,2011,1836614,1609110,172262,50068,5174,Idaho,West,Mountain,120
Wisconsin,Midwest,East North Central,2011,5647213,4846550,675623,109439,15601,Idaho,West,Mountain,566
Wyoming,West,Mountain,2011,561389,462808,66648,30651,1282,Idaho,West,Mountain,2140
Puerto Rico,Puerto Rico,Puerto Rico,2011,3669195,3403602,238263,22649,4681,Idaho,West,Mountain,13
Alabama,South,East South Central,2012,4764428,4054260,590326,104600,15242,Idaho,West,Mountain,493
Alaska,West,Pacific,2012,721186,592551,90613,33415,4607,Idaho,West,Mountain,538
Arizona,West,Mountain,2012,6468907,5242674,953789,232457,39987,Idaho,West,Mountain,2934
Arkansas,South,West South Central,2012,2912680,2453347,373046,76948,9339,Idaho,West,Mountain,0
California,West,Pacific,2012,37572738,31777868,5046618,493641,254611,Idaho,West,Mountain,5331
Colorado,West,Mountain,2012,5123944,4131357,751921,205060,35606,Idaho,West,Mountain,2660
Connecticut,Northeast,New England,2012,3555319,3114940,334918,80311,25150,Idaho,West,Mountain,97
Delaware,South,South Atlantic,2012,906576,782216,86003,34757,3600,Idaho,West,Mountain,32
District of Columbia,South,South Atlantic,2012,624847,500267,61992,53830,8758,Idaho,West,Mountain,46
Florida,South,South Atlantic,2012,19114620,16032617,2380288,537148,164567,Idaho,West,Mountain,1268
Georgia,South,South Atlantic,2012,9796547,8231384,1236302,277466,51395,Idaho,West,Mountain,936
Hawaii,West,Pacific,2012,1374852,1164145,134827,55145,20735,Idaho,West,Mountain,404
Idaho,West,Mountain,2012,1573036,1296975,210151,59283,6627,Idaho,West,Mountain,0
Illinois,Midwest,East North Central,2012,12725119,11009321,1441191,208755,65852,Idaho,West,Mountain,1384
Indiana,Midwest,East North Central,2012,6457067,5493090,805228,134137,24612,Idaho,West,Mountain,186
Iowa,Midwest,West North Central,2012,3035469,2585979,362938,75760,10792,Idaho,West,Mountain,290
Kansas,Midwest,West North Central,2012,2848708,2361899,381695,88284,16830,Idaho,West,Mountain,456
Kentucky,South,East South Central,2012,4328626,3676472,521511,112787,17856,Idaho,West,Mountain,50
Louisiana,South,West South Central,2012,4545914,3912023,528406,91215,14270,Idaho,West,Mountain,265
Maine,Northeast,New England,2012,1315586,1132344,151438,27523,4281,Idaho,West,Mountain,143
Maryland,South,South Atlantic,2012,5816472,5068457,549973,154983,43059,Idaho,West,Mountain,429
Massachusetts,Northeast,New England,2012,6580641,5752166,626380,142577,59518,Idaho,West,Mountain,188
Michigan,Midwest,East North Central,2012,9778980,8330990,1268105,133981,45904,Idaho,West,Mountain,242
Minnesota,Midwest,West North Central,2012,5315228,4536303,653012,101042,24871,Idaho,West,Mountain,575
Mississippi,South,East South Central,2012,2947696,2529377,339807,73500,5012,Idaho,West,Mountain,586
Missouri,Midwest,West North Central,2012,5951913,4965459,801093,162930,22431,Idaho,West,Mountain,596
Montana,West,Mountain,2012,995544,829489,126463,37690,1902,Idaho,West,Mountain,3385
Nebraska,Midwest,West North Central,2012,1829420,1540361,237937,43266,7856,Idaho,West,Mountain,315
Nevada,West,Mountain,2012,2725280,2105070,481496,124285,14429,Idaho,West,Mountain,1503
New Hampshire,Northeast,New England,2012,1309203,1127376,125118,50484,6225,Idaho,West,Mountain,20
New Jersey,Northeast,Middle Atlantic,2012,8772744,7929570,655465,130223,57486,Idaho,West,Mountain,113
New Mexico,West,Mountain,2012,2060595,1769341,226243,54693,10318,Idaho,West,Mountain,355
New York,Northeast,Middle Atlantic,2012,19352153,17202134,1723117,270053,156849,Idaho,West,Mountain,607
North Carolina,South,South Atlantic,2012,9640490,8167830,1149080,273149,50431,Idaho,West,Mountain,334
North Dakota,Midwest,West North Central,2012,689838,563978,84294,38213,3353,Idaho,West,Mountain,540
Ohio,Midwest,East North Central,2012,11414635,9735390,1440815,196391,42039,Idaho,West,Mountain,412
Oklahoma,South,West South Central,2012,3762311,3107367,531347,108972,14625,Idaho,West,Mountain,905
Oregon,West,Pacific,2012,3857465,3158450,560673,118925,19417,Idaho,West,Mountain,5093
Pennsylvania,Northeast,Middle Atlantic,2012,12630082,11107110,1252378,215500,55094,Idaho,West,Mountain,359
Rhode Island,Northeast,New England,2012,1040527,899551,101165,33446,6365,Idaho,West,Mountain,0
South Carolina,South,South Atlantic,2012,4668886,3929626,564350,156705,18205,Idaho,West,Mountain,198
South Dakota,Midwest,West North Central,2012,821669,676014,115606,26051,3998,Idaho,West,Mountain,78
Tennessee,South,East South Central,2012,6378278,5396833,783077,177098,21270,Idaho,West,Mountain,787
Texas,South,West South Central,2012,25711791,21354247,3656070,507752,193722,Idaho,West,Mountain,2387
Utah,West,Mountain,2012,2805440,2324019,373980,87870,19571,Idaho,West,Mountain,5129
Vermont,Northeast,New England,2012,620224,532237,61242,24431,2314,Idaho,West,Mountain,0
Virginia,South,South Atlantic,2012,8085389,6857430,915242,250653,62064,Idaho,West,Mountain,652
Washington,West,Pacific,2012,6815763,5648199,904695,215494,47375,Idaho,West,Mountain,10604
West Virginia,South,South Atlantic,2012,1837518,1613322,174112,47125,2959,Idaho,West,Mountain,181
Wisconsin,Midwest,East North Central,2012,5660677,4849945,693737,99192,17803,Idaho,West,Mountain,360
Wyoming,West,Mountain,2012,569734,459226,77324,31149,2035,Idaho,West,Mountain,745
Puerto Rico,Puerto Rico,Puerto Rico,2012,3628402,3366593,238042,20044,3723,Idaho,West,Mountain,0
Alabama,South,East South Central,2013,4781296,4067683,594583,104102,14928,Idaho,West,Mountain,222
Alaska,West,Pacific,2013,725193,583799,99953,34360,7081,Idaho,West,Mountain,555
Arizona,West,Mountain,2013,6543362,5321158,941347,236146,44711,Idaho,West,Mountain,3563
Arkansas,South,West South Central,2013,2923642,2475807,367837,70621,9377,Idaho,West,Mountain,251
California,West,Pacific,2013,37873189,32197933,4898331,485477,291448,Idaho,West,Mountain,6192
Colorado,West,Mountain,2013,5206012,4186643,778520,206543,34306,Idaho,West,Mountain,2542
Connecticut,Northeast,New England,2013,3562959,3127421,325895,88351,21292,Idaho,West,Mountain,0
Delaware,South,South Atlantic,2013,914025,791278,81363,36790,4594,Idaho,West,Mountain,0
District of Columbia,South,South Atlantic,2013,636535,509958,68917,46571,11089,Idaho,West,Mountain,0
Florida,South,South Atlantic,2013,19345059,16199361,2442119,529406,174173,Idaho,West,Mountain,1541
Georgia,South,South Atlantic,2013,9870319,8256209,1279601,278972,55537,Idaho,West,Mountain,466
Hawaii,West,Pacific,2013,1387361,1177733,135860,58083,15685,Idaho,West,Mountain,1014
Idaho,West,Mountain,2013,1592596,1317235,205418,61592,8351,Idaho,West,Mountain,0
Illinois,Midwest,East North Central,2013,12740816,11036387,1411859,223605,68965,Idaho,West,Mountain,416
Indiana,Midwest,East North Central,2013,6492306,5499346,835689,133508,23763,Idaho,West,Mountain,208
Iowa,Midwest,West North Central,2013,3053635,2585189,380270,75650,12526,Idaho,West,Mountain,273
Kansas,Midwest,West North Central,2013,2854869,2386028,363906,89735,15200,Idaho,West,Mountain,283
Kentucky,South,East South Central,2013,4345186,3665604,558412,103207,17963,Idaho,West,Mountain,564
Louisiana,South,West South Central,2013,4568320,3941211,519010,91889,16210,Idaho,West,Mountain,0
Maine,Northeast,New England,2013,1315753,1128262,146334,36780,4377,Idaho,West,Mountain,149
Maryland,South,South Atlantic,2013,5857213,5078020,572131,161525,45537,Idaho,West,Mountain,175
Massachusetts,Northeast,New England,2013,6619999,5724592,700613,135150,59644,Idaho,West,Mountain,335
Michigan,Midwest,East North Central,2013,9784094,8296283,1294706,144091,49014,Idaho,West,Mountain,339
Minnesota,Midwest,West North Central,2013,5353441,4585137,636274,104825,27205,Idaho,West,Mountain,387
Mississippi,South,East South Central,2013,2957797,2531410,350982,68588,6817,Idaho,West,Mountain,469
Missouri,Midwest,West North Central,2013,5973448,5015609,779132,159936,18771,Idaho,West,Mountain,768
Montana,West,Mountain,2013,1003013,827494,130187,40035,5297,Idaho,West,Mountain,2804
Nebraska,Midwest,West North Central,2013,1842900,1546788,241707,45854,8551,Idaho,West,Mountain,288
Nevada,West,Mountain,2013,2757365,2166730,447480,126583,16572,Idaho,West,Mountain,5194
New Hampshire,Northeast,New England,2013,1310978,1128583,131200,44867,6328,Idaho,West,Mountain,0
New Jersey,Northeast,Middle Atlantic,2013,8803679,7941559,667248,136907,57965,Idaho,West,Mountain,0
New Mexico,West,Mountain,2013,2059689,1764969,224508,56808,13404,Idaho,West,Mountain,68
New York,Northeast,Middle Atlantic,2013,19431954,17297785,1715158,272066,146945,Idaho,West,Mountain,194
North Carolina,South,South Atlantic,2013,9737365,8233641,1176351,275922,51451,Idaho,West,Mountain,750
North Dakota,Midwest,West North Central,2013,714804,593677,78944,38908,3275,Idaho,West,Mountain,218
Ohio,Midwest,East North Central,2013,11439593,9748676,1458505,185749,46663,Idaho,West,Mountain,1359
Oklahoma,South,West South Central,2013,3801521,3131192,545546,109255,15528,Idaho,West,Mountain,679
Oregon,West,Pacific,2013,3888216,3154813,571472,143841,18090,Idaho,West,Mountain,7191
Pennsylvania,Northeast,Middle Atlantic,2013,12639493,11113742,1240573,224280,60898,Idaho,West,Mountain,331
Rhode Island,Northeast,New England,2013,1040986,905093,94129,34108,7656,Idaho,West,Mountain,44
South Carolina,South,South Atlantic,2013,4720602,4000306,537062,166047,17187,Idaho,West,Mountain,855
South Dakota,Midwest,West North Central,2013,832703,691659,108713,30042,2289,Idaho,West,Mountain,25
Tennessee,South,East South Central,2013,6419226,5429144,779329,186525,24228,Idaho,West,Mountain,2616
Texas,South,West South Central,2013,26087349,21658382,3695565,548034,185368,Idaho,West,Mountain,1811
Utah,West,Mountain,2013,2854667,2361079,377528,97869,18191,Idaho,West,Mountain,7484
Vermont,Northeast,New England,2013,621256,542002,53684,23180,2390,Idaho,West,Mountain,97
Virginia,South,South Atlantic,2013,8163664,6874626,962359,266348,60331,Idaho,West,Mountain,327
Washington,West,Pacific,2013,6888552,5700703,927367,208215,52267,Idaho,West,Mountain,9196
West Virginia,South,South Atlantic,2013,1837863,1621269,161679,51957,2958,Idaho,West,Mountain,178
Wisconsin,Midwest,East North Central,2013,5681024,4872672,688588,100846,18918,Idaho,West,Mountain,131
Wyoming,West,Mountain,2013,575933,469511,76905,27584,1933,Idaho,West,Mountain,1236
Puerto Rico,Puerto Rico,Puerto Rico,2013,3579220,3329074,221047,24652,4447,Idaho,West,Mountain,0
Alabama,South,East South Central,2014,4791931,4081522,589211,107919,13279,Idaho,West,Mountain,508
Alaska,West,Pacific,2014,725206,585916,97358,37842,4090,Idaho,West,Mountain,716
Arizona,West,Mountain,2014,6651964,5431241,922129,249730,48864,Idaho,West,Mountain,3825
Arkansas,South,West South Central,2014,2931123,2464189,383087,74741,9106,Idaho,West,Mountain,0
California,West,Pacific,2014,38340324,32849251,4659084,513968,318021,Idaho,West,Mountain,7303
Colorado,West,Mountain,2014,5293943,4263998,777699,218728,33518,Idaho,West,Mountain,1365
Connecticut,Northeast,New England,2014,3558915,3111779,334207,82746,30183,Idaho,West,Mountain,0
Delaware,South,South Atlantic,2014,924770,810905,77246,32166,4453,Idaho,West,Mountain,0
District of Columbia,South,South Atlantic,2014,648586,513634,67286,56234,11432,Idaho,West,Mountain,229
Florida,South,South Atlantic,2014,19683763,16504838,2436619,546501,195805,Idaho,West,Mountain,915
Georgia,South,South Atlantic,2014,9970167,8406436,1238139,274095,51497,Idaho,West,Mountain,532
Hawaii,West,Pacific,2014,1401004,1198766,131974,58144,12120,Idaho,West,Mountain,286
Idaho,West,Mountain,2014,1613068,1335689,207055,64633,5691,Idaho,West,Mountain,0
Illinois,Midwest,East North Central,2014,12730206,11021611,1430902,209536,68157,Idaho,West,Mountain,795
Indiana,Midwest,East North Central,2014,6516181,5540754,810518,139846,25063,Idaho,West,Mountain,146
Iowa,Midwest,West North Central,2014,3067872,2594781,379518,79194,14379,Idaho,West,Mountain,175
Kansas,Midwest,West North Central,2014,2866584,2378716,376239,96467,15162,Idaho,West,Mountain,90
Kentucky,South,East South Central,2014,4357819,3663490,575429,104975,13925,Idaho,West,Mountain,473
Louisiana,South,West South Central,2014,4593505,3970442,511702,97814,13547,Idaho,West,Mountain,0
Maine,Northeast,New England,2014,1317638,1138397,134611,39065,5565,Idaho,West,Mountain,67
Maryland,South,South Atlantic,2014,5911235,5091903,615601,156787,46944,Idaho,West,Mountain,78
Massachusetts,Northeast,New England,2014,6674907,5784744,672510,146622,71031,Idaho,West,Mountain,441
Michigan,Midwest,East North Central,2014,9795659,8336037,1261495,149991,48136,Idaho,West,Mountain,132
Minnesota,Midwest,West North Central,2014,5385219,4612655,635880,106783,29901,Idaho,West,Mountain,326
Mississippi,South,East South Central,2014,2957658,2554296,321236,73927,8199,Idaho,West,Mountain,0
Missouri,Midwest,West North Central,2014,5992195,5042396,776519,153320,19960,Idaho,West,Mountain,1092
Montana,West,Mountain,2014,1012169,845142,126508,37561,2958,Idaho,West,Mountain,1788
Nebraska,Midwest,West North Central,2014,1855356,1541744,252232,52200,9180,Idaho,West,Mountain,415
Nevada,West,Mountain,2014,2806170,2235861,426512,130390,13407,Idaho,West,Mountain,1371
New Hampshire,Northeast,New England,2014,1314735,1134514,133298,41393,5530,Idaho,West,Mountain,0
New Jersey,Northeast,Middle Atlantic,2014,8840346,7961796,686056,128911,63583,Idaho,West,Mountain,0
New Mexico,West,Mountain,2014,2060189,1770053,212456,68917,8763,Idaho,West,Mountain,594
New York,Northeast,Middle Atlantic,2014,19528220,17418181,1693064,258571,158404,Idaho,West,Mountain,704
North Carolina,South,South Atlantic,2014,9832152,8332705,1166928,286533,45986,Idaho,West,Mountain,293
North Dakota,Midwest,West North Central,2014,729874,602508,85084,39059,3223,Idaho,West,Mountain,345
Ohio,Midwest,East North Central,2014,11464891,9742065,1484132,196742,41952,Idaho,West,Mountain,234
Oklahoma,South,West South Central,2014,3827288,3148699,550149,111346,17094,Idaho,West,Mountain,233
Oregon,West,Pacific,2014,3927857,3196441,571056,137008,23352,Idaho,West,Mountain,4995
Pennsylvania,Northeast,Middle Atlantic,2014,12645888,11103966,1241534,232889,67499,Idaho,West,Mountain,362
Rhode Island,Northeast,New England,2014,1045791,906936,98869,32621,7365,Idaho,West,Mountain,0
South Carolina,South,South Atlantic,2014,4780659,4046123,542930,171969,19637,Idaho,West,Mountain,996
South Dakota,Midwest,West North Central,2014,842076,701352,109496,28198,3030,Idaho,West,Mountain,177
Tennessee,South,East South Central,2014,6471445,5465071,796577,182130,27667,Idaho,West,Mountain,288
Texas,South,West South Central,2014,26588600,22151594,3681042,538572,217392,Idaho,West,Mountain,3120
Utah,West,Mountain,2014,2894001,2407608,374578,90234,21581,Idaho,West,Mountain,7021
Vermont,Northeast,New England,2014,620898,536915,59850,22635,1498,Idaho,West,Mountain,0
Virginia,South,South Atlantic,2014,8224054,6891144,995822,262477,74611,Idaho,West,Mountain,679
Washington,West,Pacific,2014,6979369,5757065,934922,220259,67123,Idaho,West,Mountain,12825
West Virginia,South,South Atlantic,2014,1831414,1617510,162340,47957,3607,Idaho,West,Mountain,0
Wisconsin,Midwest,East North Central,2014,5692727,4868506,688104,117831,18286,Idaho,West,Mountain,118
Wyoming,West,Mountain,2014,577782,475740,74601,25992,1449,Idaho,West,Mountain,835
Puerto Rico,Puerto Rico,Puerto Rico,2014,3511186,3251389,237197,19771,2829,Idaho,West,Mountain,0
Alabama,South,East South Central,2015,4801599,4113945,561019,114876,11759,Idaho,West,Mountain,0
Alaska,West,Pacific,2015,727862,582909,105769,34696,4488,Idaho,West,Mountain,544
Arizona,West,Mountain,2015,6747595,5536087,910911,253281,47316,Idaho,West,Mountain,2835
Arkansas,South,West South Central,2015,2938341,2440359,407352,81594,9036,Idaho,West,Mountain,214
California,West,Pacific,2015,38675135,33446324,4377667,514477,336667,Idaho,West,Mountain,5840
Colorado,West,Mountain,2015,5393067,4404058,728077,227445,33487,Idaho,West,Mountain,1692
Connecticut,Northeast,New England,2015,3554844,3109580,340126,76997,28141,Idaho,West,Mountain,51
Delaware,South,South Atlantic,2015,935813,800701,86009,44495,4608,Idaho,West,Mountain,0
District of Columbia,South,South Atlantic,2015,663006,525024,67188,59905,10889,Idaho,West,Mountain,5
Florida,South,South Atlantic,2015,20068392,16832374,2438828,584938,212252,Idaho,West,Mountain,846
Georgia,South,South Atlantic,2015,10088525,8489689,1259007,283325,56504,Idaho,West,Mountain,230
Hawaii,West,Pacific,2015,1414355,1206066,136796,53742,17751,Idaho,West,Mountain,359
Idaho,West,Mountain,2015,1635366,1333758,218791,73809,9008,Idaho,West,Mountain,0
Illinois,Midwest,East North Central,2015,12706393,11029917,1399829,209828,66819,Idaho,West,Mountain,474
Indiana,Midwest,East North Central,2015,6540691,5527512,843210,147529,22440,Idaho,West,Mountain,1176
