current_state,region,division,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,from_region,from_division,number_of_people
California,West,Pacific,2011,37222678,31213310,5271168,468428,269772,Alabama,South,East South Central,2087
Colorado,West,Mountain,2011,5048443,4048042,763233,202124,35044,Alabama,South,East South Central,2340
Connecticut,Northeast,New England,2011,3548667,3139496,316883,71502,20786,Alabama,South,East South Central,101
Delaware,South,South Atlantic,2011,897187,775414,83156,33912,4705,Alabama,South,East South Central,81
District of Columbia,South,South Atlantic,2011,611608,489659,66519,48066,7364,Alabama,South,East South Central,13
Florida,South,South Atlantic,2011,18863948,15742168,2454255,498597,168928,Alabama,South,East South Central,12635
Georgia,South,South Atlantic,2011,9699859,8095407,1289450,271077,43925,Alabama,South,East South Central,18799
Hawaii,West,Pacific,2011,1357806,1160948,122727,57542,16589,Alabama,South,East South Central,1268
Idaho,West,Mountain,2011,1559637,1284530,208434,60336,6337,Alabama,South,East South Central,263
Illinois,Midwest,East North Central,2011,12718402,11076528,1353853,216204,71817,Alabama,South,East South Central,2823
Indiana,Midwest,East North Central,2011,6437155,5478683,809158,127874,21440,Alabama,South,East South Central,1562
Iowa,Midwest,West North Central,2011,3027718,2573313,370554,70405,13446,Alabama,South,East South Central,207
Kansas,Midwest,West North Central,2011,2833584,2372033,362782,83640,15129,Alabama,South,East South Central,434
Kentucky,South,East South Central,2011,4316297,3686232,505741,110031,14293,Alabama,South,East South Central,925
Louisiana,South,West South Central,2011,4518629,3865118,538691,99138,15682,Alabama,South,East South Central,3065
Maine,Northeast,New England,2011,1315833,1120364,157102,33818,4549,Alabama,South,East South Central,634
Maryland,South,South Atlantic,2011,5759087,5008452,553895,153979,42761,Alabama,South,East South Central,228
Massachusetts,Northeast,New England,2011,6515057,5658768,656441,139830,60018,Alabama,South,East South Central,1201
Michigan,Midwest,East North Central,2011,9766574,8340767,1242917,139158,43732,Alabama,South,East South Central,3527
Minnesota,Midwest,West North Central,2011,5277329,4505462,646176,101029,24662,Alabama,South,East South Central,123
Mississippi,South,East South Central,2011,2943021,2534036,332934,68511,7540,Alabama,South,East South Central,8922
Missouri,Midwest,West North Central,2011,5937896,4963040,801046,149439,24371,Alabama,South,East South Central,1395
Montana,West,Mountain,2011,987076,828254,122210,33553,3059,Alabama,South,East South Central,449
Nebraska,Midwest,West North Central,2011,1817126,1505191,253269,52070,6596,Alabama,South,East South Central,169
Nevada,West,Mountain,2011,2688336,2084668,480317,110345,13006,Alabama,South,East South Central,280
New Hampshire,Northeast,New England,2011,1305678,1141236,122129,37000,5313,Alabama,South,East South Central,193
New Jersey,Northeast,Middle Atlantic,2011,8719952,7825661,693380,140194,60717,Alabama,South,East South Central,189
New Mexico,West,Mountain,2011,2055293,1753413,228218,62130,11532,Alabama,South,East South Central,410
New York,Northeast,Middle Atlantic,2011,19248685,17055260,1756105,282209,155111,Alabama,South,East South Central,1812
North Carolina,South,South Atlantic,2011,9539412,8070238,1160510,265291,43373,Alabama,South,East South Central,5420
North Dakota,Midwest,West North Central,2011,675161,559906,79837,32510,2908,Alabama,South,East South Central,97
Ohio,Midwest,East North Central,2011,11418944,9764366,1425709,191778,37091,Alabama,South,East South Central,1567
Oklahoma,South,West South Central,2011,3742698,3089041,528498,108878,16281,Alabama,South,East South Central,591
Oregon,West,Pacific,2011,3828714,3128121,549332,127906,23355,Alabama,South,East South Central,758
Pennsylvania,Northeast,Middle Atlantic,2011,12610486,11099077,1224564,234291,52554,Alabama,South,East South Central,1332
Rhode Island,Northeast,New England,2011,1040022,903786,101689,26769,7778,Alabama,South,East South Central,0
South Carolina,South,South Atlantic,2011,4624180,3899705,546666,157644,20165,Alabama,South,East South Central,2999
South Dakota,Midwest,West North Central,2011,814175,688436,94655,27506,3578,Alabama,South,East South Central,0
Tennessee,South,East South Central,2011,6333466,5342978,794556,170969,24963,Alabama,South,East South Central,9326
Texas,South,West South Central,2011,25327104,20984855,3648260,514726,179263,Alabama,South,East South Central,8747
Utah,West,Mountain,2011,2769627,2295961,373984,85217,14465,Alabama,South,East South Central,486
Vermont,Northeast,New England,2011,621354,537304,60719,20463,2868,Alabama,South,East South Central,0
Virginia,South,South Atlantic,2011,7996552,6789620,889751,257130,60051,Alabama,South,East South Central,4930
Washington,West,Pacific,2011,6748474,5565069,919925,208507,54973,Alabama,South,East South Central,1821
West Virginia,South,South Atlantic,2011,1836614,1609110,172262,50068,5174,Alabama,South,East South Central,221
Wisconsin,Midwest,East North Central,2011,5647213,4846550,675623,109439,15601,Alabama,South,East South Central,708
Wyoming,West,Mountain,2011,561389,462808,66648,30651,1282,Alabama,South,East South Central,51
Puerto Rico,Puerto Rico,Puerto Rico,2011,3669195,3403602,238263,22649,4681,Alabama,South,East South Central,35
Alabama,South,East South Central,2012,4764428,4054260,590326,104600,15242,Alabama,South,East South Central,0
Alaska,West,Pacific,2012,721186,592551,90613,33415,4607,Alabama,South,East South Central,1097
Arizona,West,Mountain,2012,6468907,5242674,953789,232457,39987,Alabama,South,East South Central,1331
Arkansas,South,West South Central,2012,2912680,2453347,373046,76948,9339,Alabama,South,East South Central,374
California,West,Pacific,2012,37572738,31777868,5046618,493641,254611,Alabama,South,East South Central,2509
Colorado,West,Mountain,2012,5123944,4131357,751921,205060,35606,Alabama,South,East South Central,3108
Connecticut,Northeast,New England,2012,3555319,3114940,334918,80311,25150,Alabama,South,East South Central,46
Delaware,South,South Atlantic,2012,906576,782216,86003,34757,3600,Alabama,South,East South Central,119
District of Columbia,South,South Atlantic,2012,624847,500267,61992,53830,8758,Alabama,South,East South Central,79
Florida,South,South Atlantic,2012,19114620,16032617,2380288,537148,164567,Alabama,South,East South Central,18599
Georgia,South,South Atlantic,2012,9796547,8231384,1236302,277466,51395,Alabama,South,East South Central,13864
Hawaii,West,Pacific,2012,1374852,1164145,134827,55145,20735,Alabama,South,East South Central,608
Idaho,West,Mountain,2012,1573036,1296975,210151,59283,6627,Alabama,South,East South Central,575
Illinois,Midwest,East North Central,2012,12725119,11009321,1441191,208755,65852,Alabama,South,East South Central,883
Indiana,Midwest,East North Central,2012,6457067,5493090,805228,134137,24612,Alabama,South,East South Central,1625
Iowa,Midwest,West North Central,2012,3035469,2585979,362938,75760,10792,Alabama,South,East South Central,503
Kansas,Midwest,West North Central,2012,2848708,2361899,381695,88284,16830,Alabama,South,East South Central,853
Kentucky,South,East South Central,2012,4328626,3676472,521511,112787,17856,Alabama,South,East South Central,4137
Louisiana,South,West South Central,2012,4545914,3912023,528406,91215,14270,Alabama,South,East South Central,2329
Maine,Northeast,New England,2012,1315586,1132344,151438,27523,4281,Alabama,South,East South Central,129
Maryland,South,South Atlantic,2012,5816472,5068457,549973,154983,43059,Alabama,South,East South Central,1261
Massachusetts,Northeast,New England,2012,6580641,5752166,626380,142577,59518,Alabama,South,East South Central,636
Michigan,Midwest,East North Central,2012,9778980,8330990,1268105,133981,45904,Alabama,South,East South Central,2341
Minnesota,Midwest,West North Central,2012,5315228,4536303,653012,101042,24871,Alabama,South,East South Central,1299
Mississippi,South,East South Central,2012,2947696,2529377,339807,73500,5012,Alabama,South,East South Central,5141
Missouri,Midwest,West North Central,2012,5951913,4965459,801093,162930,22431,Alabama,South,East South Central,1333
